2016-01-12 16:58:31,634 [Dummy-1:7044] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2016-01-12 16:58:31,638 [Dummy-1:7044] [django.db.backends:89] [utils:execute] [DEBUG]- (0.003) SHOW FULL TABLES; args=None
2016-01-12 16:58:31,644 [Dummy-1:7044] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2016-01-12 16:58:39,482 [Thread-2:5312] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-01-12 16:58:39,483 [Thread-2:5312] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT COUNT('*') AS `__count` FROM `blog_app_article`; args=('*',)
2016-01-12 16:58:39,496 [Thread-2:5312] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `blog_app_article`.`id`, `blog_app_article`.`title`, `blog_app_article`.`desc`, `blog_app_article`.`content`, `blog_app_article`.`click_count`, `blog_app_article`.`is_recommend`, `blog_app_article`.`date_publish`, `blog_app_article`.`user_id`, `blog_app_article`.`category_id` FROM `blog_app_article` ORDER BY `blog_app_article`.`date_publish` DESC LIMIT 5; args=()
2016-01-12 16:58:39,499 [Thread-2:5312] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `blog_app_category`.`id`, `blog_app_category`.`name`, `blog_app_category`.`index` FROM `blog_app_category` WHERE `blog_app_category`.`id` = 1; args=(1,)
2016-01-12 16:58:39,516 [Thread-2:5312] [django.db.backends:89] [utils:execute] [DEBUG]- (0.017) SELECT `blog_app_category`.`id`, `blog_app_category`.`name`, `blog_app_category`.`index` FROM `blog_app_category` WHERE `blog_app_category`.`id` = 1; args=(1,)
2016-01-12 16:58:39,517 [Thread-2:5312] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `blog_app_category`.`id`, `blog_app_category`.`name`, `blog_app_category`.`index` FROM `blog_app_category` WHERE `blog_app_category`.`id` = 1; args=(1,)
2016-01-12 16:58:39,519 [Thread-2:5312] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `blog_app_category`.`id`, `blog_app_category`.`name`, `blog_app_category`.`index` FROM `blog_app_category` WHERE `blog_app_category`.`id` = 1; args=(1,)
2016-01-12 16:58:39,520 [Thread-2:5312] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `blog_app_category`.`id`, `blog_app_category`.`name`, `blog_app_category`.`index` FROM `blog_app_category` WHERE `blog_app_category`.`id` = 1; args=(1,)
2016-01-12 16:58:39,523 [Thread-2:5312] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `blog_app_article`.`id`, `blog_app_article`.`title`, `blog_app_article`.`desc`, `blog_app_article`.`content`, `blog_app_article`.`click_count`, `blog_app_article`.`is_recommend`, `blog_app_article`.`date_publish`, `blog_app_article`.`user_id`, `blog_app_article`.`category_id` FROM `blog_app_article` ORDER BY `blog_app_article`.`click_count` DESC LIMIT 6; args=()
2016-01-12 16:58:39,525 [Thread-2:5312] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `blog_app_article`.`id`, `blog_app_article`.`title`, `blog_app_article`.`desc`, `blog_app_article`.`content`, `blog_app_article`.`click_count`, `blog_app_article`.`is_recommend`, `blog_app_article`.`date_publish`, `blog_app_article`.`user_id`, `blog_app_article`.`category_id` FROM `blog_app_article` WHERE `blog_app_article`.`is_recommend` = 1 ORDER BY `blog_app_article`.`id` DESC LIMIT 6; args=(True,)
2016-01-12 16:58:39,526 [Thread-2:5312] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `blog_app_tag`.`id`, `blog_app_tag`.`name` FROM `blog_app_tag` ORDER BY `blog_app_tag`.`id` ASC LIMIT 10; args=()
2016-01-12 16:58:39,529 [Thread-2:5312] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `blog_app_links`.`id`, `blog_app_links`.`title`, `blog_app_links`.`description`, `blog_app_links`.`callback_url`, `blog_app_links`.`date_publish`, `blog_app_links`.`index` FROM `blog_app_links` ORDER BY `blog_app_links`.`index` ASC, `blog_app_links`.`id` ASC LIMIT 10; args=()
2016-01-12 17:02:59,033 [Thread-11:13452] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-01-12 17:02:59,035 [Thread-11:13452] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT COUNT('*') AS `__count` FROM `blog_app_article`; args=('*',)
